Datum;Volume;Open;Hoog;Laag;Slot
1-2-2022;Null;761,91;765,64;759,03;765,22
31-1-2022;Null;754,33;759,11;749,23;755,2
28-1-2022;Null;749,21;749,87;734,54;744,26
27-1-2022;Null;737,36;758,87;737,36;753,79
26-1-2022;Null;746,34;756,86;746,34;752,43
25-1-2022;Null;746,62;747,05;734,42;739,86
24-1-2022;Null;761,04;764,82;734,71;738,66
21-1-2022;Null;763,77;768,71;755,92;763,7
20-1-2022;Null;776,09;778,26;770,77;778,26
19-1-2022;Null;763,02;779,94;761,84;772,56
18-1-2022;Null;776,57;776,89;766,09;769,7
17-1-2022;Null;782,02;784,32;775,08;781,32
14-1-2022;Null;783,14;788,33;781,11;783,53
13-1-2022;Null;789,74;796,12;788,46;791,33
12-1-2022;Null;788,66;794,13;785,6;790,44
11-1-2022;Null;781,89;783,73;777,36;782,35
10-1-2022;Null;792,1;792,42;770,31;773,13
7-1-2022;Null;788,95;789,94;783,63;788,43
6-1-2022;Null;786,92;789,28;779,84;785,9
5-1-2022;Null;802,5;805,66;799,58;800,75
4-1-2022;Null;808,76;812,55;802,28;804,28
3-1-2022;Null;802,5;805,85;800,62;803,31
31-12-2021;Null;799,65;800,66;796,59;797,93
30-12-2021;Null;797,68;800,83;797,13;800,25
29-12-2021;Null;801,5;802,28;793,56;796,12
28-12-2021;Null;796,99;803,59;796,61;800,95
27-12-2021;Null;788,84;798,51;788,4;797,3
24-12-2021;Null;791,84;793,34;790,48;790,48
23-12-2021;Null;787,55;793,2;784,37;792,3
22-12-2021;Null;777,63;782,08;773,95;782,08
21-12-2021;Null;771,54;775,97;768,74;774,95
20-12-2021;Null;757,25;765,51;755,57;763,03
17-12-2021;Null;776,58;778;765,56;771,7
16-12-2021;Null;791,11;793,06;781,59;781,59
15-12-2021;Null;778,35;780,44;774,54;775,46
14-12-2021;Null;786,61;788,08;775,31;775,75
13-12-2021;Null;791,41;796,23;782,47;783
10-12-2021;Null;786,05;793,73;786,05;788,01
9-12-2021;Null;800,23;800,83;790,93;791,91
8-12-2021;Null;805,07;809,16;797,72;797,72
7-12-2021;Null;789,95;806,13;789,63;805,78
6-12-2021;Null;778,23;780,44;770,88;778,43
3-12-2021;Null;784,8;785,1;769,14;772,22
2-12-2021;Null;779,79;783,75;773,37;778,8
1-12-2021;Null;783,84;792,16;779,62;790,7
30-11-2021;Null;778,57;786,84;774,31;777,39
29-11-2021;Null;791,63;793,76;786,38;787,01
26-11-2021;Null;782,27;793;779,7;781,63
25-11-2021;Null;806,92;808,91;803,78;807,55
24-11-2021;Null;804,98;807,29;795,28;802,96
23-11-2021;Null;807,5;810,11;801,5;802,24
22-11-2021;Null;824,25;825,38;815,34;815,34
19-11-2021;Null;825,28;828;820,45;821,8
18-11-2021;Null;826,22;829,66;823,44;825,06
17-11-2021;Null;827,38;829,35;825,82;827,57
16-11-2021;Null;825,71;828,01;822,66;826,5
15-11-2021;Null;820,92;823,21;817,8;823,21
12-11-2021;Null;815,38;820,3;813,06;820,3
11-11-2021;Null;812,22;816,35;809,04;816,35
10-11-2021;Null;817,08;819,8;808,8;814,63
9-11-2021;Null;815,27;818,12;813,1;815,17
8-11-2021;Null;818,22;820,88;817,48;817,59
5-11-2021;Null;820,15;824,72;819,05;819,72
4-11-2021;Null;820,71;822,34;818,04;820,38
3-11-2021;Null;811,28;816,07;811,28;816,01
2-11-2021;Null;809,21;812,53;808,42;812,29
1-11-2021;Null;815,25;815,63;808,3;811,74
29-10-2021;Null;804,46;811,53;801,26;810,91
28-10-2021;Null;812,81;815,95;810,45;812,23
27-10-2021;Null;816,03;818,27;813,92;815,29
26-10-2021;Null;813,44;818,31;813,09;816,91
25-10-2021;Null;815,52;816,75;812,07;813,02
22-10-2021;Null;812,5;816,97;810,92;812,97
21-10-2021;Null;801,23;809,68;800,87;807,64
20-10-2021;Null;798,73;808,36;798,73;805,47
19-10-2021;Null;800;803,24;798,37;802,49
18-10-2021;Null;797,04;798,48;792,59;796,74
15-10-2021;Null;796,64;801,03;792,33;800,41
14-10-2021;Null;785,08;791,56;784;790,84
13-10-2021;Null;769,59;778,91;767,52;777,52
12-10-2021;Null;763,89;773,85;763,24;771,47
11-10-2021;Null;771,58;775,33;768,22;773,79
8-10-2021;Null;777,45;777,5;772,05;772,05
7-10-2021;Null;771,18;777,85;767,64;777,18
6-10-2021;Null;763,49;764,09;751,06;761,22
5-10-2021;Null;758,84;771,61;758,84;771,19
4-10-2021;Null;762,26;765,96;756,54;757,2
1-10-2021;Null;761,82;771,19;761,82;766,69
30-9-2021;Null;782,67;785,18;771,79;771,94
29-9-2021;Null;775,68;783,79;774,83;775,84
28-9-2021;Null;787,02;788,28;772,45;773,71
27-9-2021;Null;798,49;798,67;787,09;788,67
24-9-2021;Null;797,76;798,19;790,63;791,45
23-9-2021;Null;799,15;803,11;797,93;800,61
22-9-2021;Null;790,25;792,95;786,85;792,4
21-9-2021;Null;781,98;789,97;781,98;786,31
20-9-2021;Null;779,8;781,38;773,24;778,28
17-9-2021;Null;803,67;804,47;788,03;789,49
16-9-2021;Null;797,1;800,41;796,72;798,15
15-9-2021;Null;798,76;800,34;794,1;794,19
14-9-2021;Null;792,65;798,04;789,57;797,71
13-9-2021;Null;789,49;794,88;789,49;791,45
10-9-2021;Null;790,29;794,06;786,84;788,49
9-9-2021;Null;785,11;791,18;782,21;787,17
8-9-2021;Null;789,83;791,92;784,35;789
7-9-2021;Null;798,05;799,51;793,64;794,73
