Datum;Volume;Open;Hoog;Laag;Slot
31-12-2007;Null;516,06;516,32;515,07;515,77
28-12-2007;Null;514,07;516,92;514,07;515,69
27-12-2007;Null;517,95;519,08;515,52;516,43
24-12-2007;Null;515,29;516,44;514,79;516,19
21-12-2007;Null;512,03;514,8;510,44;513,71
20-12-2007;Null;504,13;508,3;503,93;506,79
19-12-2007;Null;504,46;505,85;499;502,63
18-12-2007;Null;502,05;508,69;501,79;502,72
17-12-2007;Null;505,66;506,16;502,38;503,46
14-12-2007;Null;510,43;512,24;506,33;511,28
13-12-2007;Null;511,39;511,98;507,1;507,9
12-12-2007;Null;510,04;521,49;509,32;516,2
11-12-2007;Null;518,69;518,82;513,45;515,49
10-12-2007;Null;512;518,24;511,98;516,84
7-12-2007;Null;512,82;516,39;512,25;513,59
6-12-2007;Null;510,46;515,34;506,78;510,43
5-12-2007;Null;499,67;508,65;499,48;507,8
4-12-2007;Null;503,61;503,73;495,49;497,52
3-12-2007;Null;506,86;508,91;501,96;502,88
30-11-2007;Null;502,85;509,87;502,34;507,58
29-11-2007;Null;503,87;504,31;497,98;501,91
28-11-2007;Null;494,31;501,39;487,99;500,21
27-11-2007;Null;487,98;494,83;486,73;492,24
26-11-2007;Null;497,16;499,51;491,3;491,82
23-11-2007;Null;484,72;493,15;484,72;492,47
22-11-2007;Null;484,47;487,57;481,84;484,93
21-11-2007;Null;487,1;488,53;480,87;483,53
20-11-2007;Null;492,47;495,04;484,92;493,84
19-11-2007;Null;501,93;504,63;490,09;491,09
16-11-2007;Null;500,81;503,42;496,92;500,08
15-11-2007;Null;511,34;513;504,96;506,78
14-11-2007;Null;514,63;515,67;510,53;512,32
13-11-2007;Null;505,76;509,51;504;507,89
12-11-2007;Null;506,61;509,03;502,92;508,32
9-11-2007;Null;524,07;525,2;506,74;510,65
8-11-2007;Null;522,02;526,59;520,97;523,17
7-11-2007;Null;535,15;535,93;526,35;530,27
6-11-2007;Null;535,7;536,49;533,17;533,7
5-11-2007;Null;534,26;535,79;531,48;534,02
2-11-2007;Null;536,55;539,95;534,3;537,25
1-11-2007;Null;549,72;549,78;537,9;540,92
31-10-2007;Null;543,58;547,85;543,03;547,85
30-10-2007;Null;548,58;549,79;544,77;545,25
29-10-2007;Null;551,15;551,69;549,38;550,85
26-10-2007;Null;546,28;548,29;542,77;Null
25-10-2007;Null;546,41;548,59;544,65;545,94
24-10-2007;Null;546,76;547,52;542,14;543,34
23-10-2007;Null;545,63;548,6;544,72;546,37
22-10-2007;Null;541,44;543,4;538,51;541,43
19-10-2007;Null;550,25;554,38;549,44;551,05
18-10-2007;Null;555,89;556,99;549,02;551,53
17-10-2007;Null;549,52;556,03;549,18;554,55
16-10-2007;Null;551,56;552,24;547,68;550,3
15-10-2007;Null;558,01;558,83;552,78;553,07
12-10-2007;Null;553,64;559,14;552,03;559,14
11-10-2007;Null;555,04;559,43;555,04;558,01
10-10-2007;Null;551,26;557,03;549,35;554,57
9-10-2007;Null;545,54;551,31;544,23;550,72
8-10-2007;Null;547,3;548,45;545,64;545,79
5-10-2007;Null;542,63;546,71;542,29;546,6
4-10-2007;Null;538,11;542,93;537,76;541,75
3-10-2007;Null;543,47;543,85;539,03;540,53
2-10-2007;Null;548,68;549,02;542,14;542,93
1-10-2007;Null;538,41;545,85;537,51;545,57
28-9-2007;Null;542,14;542,75;537,72;540,98
27-9-2007;Null;542,55;544,42;541,59;542,24
26-9-2007;Null;536,65;541,51;536,65;539,37
25-9-2007;Null;539,3;539,77;533,46;534,99
24-9-2007;Null;543,88;544,43;540,63;541,63
21-9-2007;Null;540,69;546,56;540,69;544,65
20-9-2007;Null;540,25;543,03;539,41;542,45
19-9-2007;Null;541,17;545,06;537,81;543,54
18-9-2007;Null;522,03;531,35;521,56;531
17-9-2007;Null;527,51;527,51;521,71;522,99
14-9-2007;Null;529,14;530,24;524,38;528,36
13-9-2007;Null;522,78;531,72;521,65;530,96
12-9-2007;Null;522,43;524,18;518,59;523,38
11-9-2007;Null;518,07;521,88;516,68;521,53
10-9-2007;Null;517,48;520,05;512,42;512,9
7-9-2007;Null;526,17;529,25;516,49;517,43
6-9-2007;Null;526,04;527,29;520,81;527,21
5-9-2007;Null;530,24;530,24;522,92;523,02
4-9-2007;Null;524,34;531,75;522,32;531
3-9-2007;Null;523,77;525,93;522,92;525,36
31-8-2007;Null;521,32;525,27;519,72;522,73
30-8-2007;Null;515,91;518,78;510,35;517,67
29-8-2007;Null;504,32;511,35;503,14;510,79
28-8-2007;Null;517,3;517,51;506,96;508,01
27-8-2007;Null;519,79;521,21;517,81;518,12
24-8-2007;Null;512,65;520,48;512,65;518,1
23-8-2007;Null;519,3;521,15;514,75;514,75
22-8-2007;Null;507,95;515,44;507,71;514,3
21-8-2007;Null;506,18;507,87;499,83;505,61
20-8-2007;Null;503,85;508,17;503,22;504,57
17-8-2007;Null;485,35;506,9;479,49;499
16-8-2007;Null;496,9;497,55;487,06;487,06
15-8-2007;Null;503,21;507,6;501,27;506,04
14-8-2007;Null;511,94;515,34;507,06;508,43
13-8-2007;Null;508,21;513,92;507,53;513,25
10-8-2007;Null;507,82;509,28;497,79;502,04
9-8-2007;Null;530,24;530,24;514,44;517,85
8-8-2007;Null;526,32;532,83;525,46;530,98
7-8-2007;Null;521,74;522,08;517,62;521,43
6-8-2007;Null;515,72;519,86;515,08;516,04
3-8-2007;Null;528,13;528,36;520,1;521,52
2-8-2007;Null;530,16;530,49;525,21;527,76
1-8-2007;Null;523,46;528,78;519,04;524,45
31-7-2007;Null;529,44;534,04;528,5;533,99
30-7-2007;Null;527,11;530,74;523,76;525,76
27-7-2007;Null;528,55;535,94;525,78;526,69
26-7-2007;Null;549,58;549,84;533,04;533,04
25-7-2007;Null;547,32;551,67;544,56;546,88
24-7-2007;Null;557,98;558,83;551,03;551,59
23-7-2007;Null;554,71;558,95;554,67;558,95
20-7-2007;Null;559,71;561,57;554,99;555,02
19-7-2007;Null;559,25;561,17;557,79;560,25
18-7-2007;Null;556,79;559,83;555,63;555,63
17-7-2007;Null;560,31;561,56;558,05;560,79
16-7-2007;Null;563,02;563,66;560,38;561,9
13-7-2007;Null;563,47;563,98;560,36;560,93
12-7-2007;Null;554,55;560,14;551,34;560,14
11-7-2007;Null;550,54;554,48;549,34;553,56
10-7-2007;Null;558,77;559,95;553,76;554,95
9-7-2007;Null;556,8;558,26;556,08;557,43
6-7-2007;Null;550,97;555;550,46;555
